t,fish_y,bar_y,vf_px_s,vb_px_s,pos_f,pos_b,vel_f,vel_b,action,prev_action,ui_h
38498.449,885.5,891.2,0.0,0.0,0.867,0.876,0.000,0.000,1,0,605
38498.512,882.0,889.9,0.0,0.0,0.861,0.874,0.000,0.000,1,1,605
38498.573,877.6,886.1,-51.0,0.0,0.854,0.868,-0.047,0.000,1,1,605
38498.631,877.6,886.7,-39.9,0.0,0.854,0.869,-0.036,0.000,1,1,605
38498.684,873.1,886.1,-40.1,0.0,0.846,0.868,-0.037,0.000,1,1,605
38498.744,873.6,882.1,-35.3,0.0,0.847,0.861,-0.032,0.000,1,1,605
38498.801,869.1,873.9,-33.9,0.0,0.840,0.848,-0.031,0.000,1,1,605
38498.864,867.4,866.8,-48.2,0.0,0.837,0.836,-0.044,0.000,1,1,605
38498.919,865.7,858.3,-32.7,0.0,0.834,0.822,-0.030,0.000,1,1,605
38498.977,866.8,849.8,-10.3,0.0,0.836,0.808,-0.009,0.000,1,1,605
38499.045,867.4,838.5,8.7,0.0,0.837,0.789,0.008,0.000,1,1,605
38499.098,868.5,818.1,12.8,0.0,0.839,0.756,0.012,0.000,0,1,605
38499.173,867.4,818.1,1.8,0.0,0.840,0.759,0.002,0.000,0,0,605
38499.231,865.4,761.2,-18.2,0.0,0.837,0.665,-0.017,0.000,0,0,605
38499.285,863.7,752.1,-30.0,0.0,0.834,0.650,-0.027,0.000,0,0,605
38499.342,861.4,725.8,-34.6,0.0,0.830,0.606,-0.032,0.000,0,0,605
38499.405,858.6,714.7,-40.9,0.0,0.826,0.588,-0.037,0.000,0,0,605
38499.463,856.6,701.7,-40.0,0.0,0.823,0.566,-0.037,0.000,0,0,605
38499.520,849.5,687.6,-71.0,0.0,0.811,0.543,-0.065,0.000,0,0,605
38499.579,848.1,685.9,-72.9,0.0,0.808,0.540,-0.067,0.000,0,0,605
38499.638,849.5,683.6,-14.6,0.0,0.811,0.537,-0.013,0.000,0,0,605
38499.698,852.7,683.0,27.6,0.0,0.816,0.536,0.025,0.000,0,0,605
38499.753,855.2,683.9,45.0,0.0,0.820,0.537,0.041,0.000,0,0,605
38499.807,858.6,689.8,52.3,0.0,0.826,0.547,0.048,0.000,0,0,605
38499.863,862.6,689.8,64.0,0.0,0.832,0.547,0.058,0.000,0,0,605
38499.921,865.7,716.2,62.4,0.0,0.838,0.590,0.057,0.000,0,0,605
38499.979,867.1,719.8,43.5,0.0,0.840,0.596,0.040,0.000,0,0,605
38500.034,872.2,752.1,54.7,0.0,0.848,0.650,0.050,0.000,0,0,605
38500.094,873.6,757.5,56.0,0.0,0.851,0.659,0.051,0.000,0,0,605
38500.150,877.3,798.9,46.2,0.0,0.857,0.727,0.042,0.000,0,0,605
38500.208,880.1,815.3,55.1,0.0,0.861,0.754,0.050,0.000,0,0,605
38500.267,882.3,854.6,44.9,0.0,0.865,0.819,0.041,0.000,0,0,605
38500.338,884.7,879.6,36.8,0.0,0.869,0.860,0.034,0.000,0,0,605
38500.396,889.2,885.7,49.7,0.0,0.876,0.871,0.045,0.000,0,0,605
38500.450,891.5,864.3,58.6,0.0,0.880,0.835,0.054,0.000,0,0,605
38500.509,893.2,864.3,39.8,0.0,0.883,0.835,0.036,0.000,0,0,605
38500.566,891.5,831.4,8.1,0.0,0.880,0.781,0.007,0.000,0,0,605
38500.629,888.6,820.1,-28.6,0.0,0.875,0.762,-0.026,0.000,0,0,605
38500.685,884.5,806.5,-52.1,0.0,0.869,0.740,-0.048,0.000,0,0,605
38500.741,882.5,804.5,-54.1,0.0,0.865,0.736,-0.049,0.000,0,0,605
38500.796,878.2,798.0,-56.7,0.0,0.858,0.726,-0.052,0.000,0,0,605
38500.851,875.6,795.7,-61.5,0.0,0.854,0.722,-0.056,0.000,0,0,605
38500.914,873.3,794.6,-44.9,0.0,0.850,0.720,-0.041,0.000,0,0,605
38500.972,868.2,796.9,-57.7,0.0,0.842,0.724,-0.053,0.000,0,0,605
38501.031,864.8,826.9,-69.5,0.0,0.836,0.773,-0.063,0.000,0,0,605
38501.085,863.1,826.9,-49.9,0.0,0.833,0.773,-0.046,0.000,0,0,605
38501.141,861.2,834.8,-36.8,0.0,0.830,0.786,-0.034,0.000,0,0,605
38501.197,857.5,854.1,-48.1,0.0,0.824,0.818,-0.044,0.000,1,0,605
38501.252,852.9,862.6,-69.1,0.0,0.816,0.832,-0.063,0.000,1,1,605
38538.350,842.8,856.9,-58.5,0.0,0.800,0.823,-0.053,0.000,1,1,605
38538.409,839.9,845.0,-46.2,0.0,0.795,0.803,-0.042,0.000,1,1,605
38538.469,835.4,828.0,-58.9,0.0,0.787,0.775,-0.054,0.000,1,1,605
38538.530,832.0,814.7,-64.3,0.0,0.782,0.753,-0.059,0.000,1,1,605
38538.584,828.6,804.8,-60.1,0.0,0.776,0.737,-0.055,0.000,1,1,605
38538.646,826.3,798.3,-50.6,0.0,0.772,0.726,-0.046,0.000,1,1,605
38538.704,821.8,746.7,-55.3,0.0,0.765,0.641,-0.050,0.000,0,1,605
38538.760,818.7,746.7,-64.7,0.0,0.760,0.641,-0.059,0.000,0,0,605
38538.818,818.1,685.6,-38.6,0.0,0.759,0.540,-0.035,0.000,0,0,605
38538.875,820.4,685.6,4.1,0.0,0.763,0.540,0.004,0.000,0,0,605
38538.933,822.9,636.9,34.2,0.0,0.767,0.459,0.031,0.000,0,0,605
38538.989,826.6,614.2,50.5,0.0,0.773,0.422,0.046,0.000,0,0,605
38539.051,829.2,593.0,52.4,0.0,0.777,0.387,0.048,0.000,0,0,605
38539.111,830.9,581.1,38.4,0.0,0.780,0.367,0.035,0.000,0,0,605
